receipt,benchmark,instance_id,query_index,sidecar_verdict,spec_zero_tol_holds_recorded,spec_small_tol_holds_recorded,sha_model_match,sha_spec_match,sha_x_match,fresh_ort_zero_tol_holds,fresh_ort_small_tol_holds,fresh_y_matches_recorded,official_zero,official_small,audit_ok,audit_note
acasxu_2023_141_q0_small_dense_lp_witness_0.json,acasxu_2023,141,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_142_q0_small_dense_lp_witness_0.json,acasxu_2023,142,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_143_q0_small_dense_lp_witness_0.json,acasxu_2023,143,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_58_q0_small_dense_lp_witness_0.json,acasxu_2023,58,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_61_q0_small_dense_lp_witness_0.json,acasxu_2023,61,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_67_q0_small_dense_lp_witness_0.json,acasxu_2023,67,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_75_q0_small_dense_lp_witness_0.json,acasxu_2023,75,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_78_q0_small_dense_lp_witness_0.json,acasxu_2023,78,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_79_q0_small_dense_lp_witness_0.json,acasxu_2023,79,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_84_q0_small_dense_lp_witness_0.json,acasxu_2023,84,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_86_q0_small_dense_lp_witness_0.json,acasxu_2023,86,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_87_q0_small_dense_lp_witness_0.json,acasxu_2023,87,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_96_q0_small_dense_lp_witness_0.json,acasxu_2023,96,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_97_q0_small_dense_lp_witness_0.json,acasxu_2023,97,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
acasxu_2023_98_q0_small_dense_lp_witness_0.json,acasxu_2023,98,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
cora_2024_3_q1_hz_walker_lp_0.json,cora_2024,3,1,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
malbeware_21_q20_hz_walker_lp_0.json,malbeware,21,20,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
malbeware_59_q20_hz_walker_lp_0.json,malbeware,59,20,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
malbeware_71_q20_hz_walker_lp_0.json,malbeware,71,20,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
malbeware_82_q6_hz_walker_lp_0.json,malbeware,82,6,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
malbeware_89_q20_hz_walker_lp_0.json,malbeware,89,20,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
malbeware_94_q2_hz_walker_lp_0.json,malbeware,94,2,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_102_q0_small_dense_lp_witness_0.json,safenlp_2024,102,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_276_q0_small_dense_lp_witness_0.json,safenlp_2024,276,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
safenlp_2024_292_q0_small_dense_lp_witness_0.json,safenlp_2024,292,0,sat_zero_tol,True,True,True,True,True,True,True,True,sat,sat,True,
