idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/tllBench_n=2_N=M=8_m=1_instance_0_0.onnx,vnnlib/property_N=8_0.vnnlib,600,600,8.07,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0001__tllBench_n=2_N=M=8_m=1_instance_0_0__property_N=8_0.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0001__tllBench_n=2_N=M=8_m=1_instance_0_0__property_N=8_0.log
2,onnx/tllBench_n=2_N=M=8_m=1_instance_0_1.onnx,vnnlib/property_N=8_1.vnnlib,600,600,8.00,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0002__tllBench_n=2_N=M=8_m=1_instance_0_1__property_N=8_1.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0002__tllBench_n=2_N=M=8_m=1_instance_0_1__property_N=8_1.log
3,onnx/tllBench_n=2_N=M=8_m=1_instance_0_2.onnx,vnnlib/property_N=8_2.vnnlib,600,600,7.63,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0003__tllBench_n=2_N=M=8_m=1_instance_0_2__property_N=8_2.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0003__tllBench_n=2_N=M=8_m=1_instance_0_2__property_N=8_2.log
4,onnx/tllBench_n=2_N=M=8_m=1_instance_0_3.onnx,vnnlib/property_N=8_3.vnnlib,600,600,7.71,False,sat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0004__tllBench_n=2_N=M=8_m=1_instance_0_3__property_N=8_3.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0004__tllBench_n=2_N=M=8_m=1_instance_0_3__property_N=8_3.log
5,onnx/tllBench_n=2_N=M=16_m=1_instance_1_0.onnx,vnnlib/property_N=16_0.vnnlib,600,600,13.72,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0005__tllBench_n=2_N=M=16_m=1_instance_1_0__property_N=16_0.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0005__tllBench_n=2_N=M=16_m=1_instance_1_0__property_N=16_0.log
6,onnx/tllBench_n=2_N=M=16_m=1_instance_1_1.onnx,vnnlib/property_N=16_1.vnnlib,600,600,14.10,False,sat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0006__tllBench_n=2_N=M=16_m=1_instance_1_1__property_N=16_1.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0006__tllBench_n=2_N=M=16_m=1_instance_1_1__property_N=16_1.log
7,onnx/tllBench_n=2_N=M=16_m=1_instance_1_2.onnx,vnnlib/property_N=16_2.vnnlib,600,600,22.03,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0007__tllBench_n=2_N=M=16_m=1_instance_1_2__property_N=16_2.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0007__tllBench_n=2_N=M=16_m=1_instance_1_2__property_N=16_2.log
8,onnx/tllBench_n=2_N=M=16_m=1_instance_1_3.onnx,vnnlib/property_N=16_3.vnnlib,600,600,90.06,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0008__tllBench_n=2_N=M=16_m=1_instance_1_3__property_N=16_3.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0008__tllBench_n=2_N=M=16_m=1_instance_1_3__property_N=16_3.log
9,onnx/tllBench_n=2_N=M=24_m=1_instance_2_0.onnx,vnnlib/property_N=24_0.vnnlib,600,600,168.34,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0009__tllBench_n=2_N=M=24_m=1_instance_2_0__property_N=24_0.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0009__tllBench_n=2_N=M=24_m=1_instance_2_0__property_N=24_0.log
10,onnx/tllBench_n=2_N=M=24_m=1_instance_2_1.onnx,vnnlib/property_N=24_1.vnnlib,600,600,282.73,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0010__tllBench_n=2_N=M=24_m=1_instance_2_1__property_N=24_1.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0010__tllBench_n=2_N=M=24_m=1_instance_2_1__property_N=24_1.log
11,onnx/tllBench_n=2_N=M=24_m=1_instance_2_2.onnx,vnnlib/property_N=24_2.vnnlib,600,600,80.75,False,sat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0011__tllBench_n=2_N=M=24_m=1_instance_2_2__property_N=24_2.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0011__tllBench_n=2_N=M=24_m=1_instance_2_2__property_N=24_2.log
12,onnx/tllBench_n=2_N=M=24_m=1_instance_2_3.onnx,vnnlib/property_N=24_3.vnnlib,600,600,79.42,False,sat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0012__tllBench_n=2_N=M=24_m=1_instance_2_3__property_N=24_3.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0012__tllBench_n=2_N=M=24_m=1_instance_2_3__property_N=24_3.log
13,onnx/tllBench_n=2_N=M=32_m=1_instance_3_0.onnx,vnnlib/property_N=32_0.vnnlib,600,600,36.68,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0013__tllBench_n=2_N=M=32_m=1_instance_3_0__property_N=32_0.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0013__tllBench_n=2_N=M=32_m=1_instance_3_0__property_N=32_0.log
14,onnx/tllBench_n=2_N=M=32_m=1_instance_3_1.onnx,vnnlib/property_N=32_1.vnnlib,600,600,216.62,False,sat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0014__tllBench_n=2_N=M=32_m=1_instance_3_1__property_N=32_1.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0014__tllBench_n=2_N=M=32_m=1_instance_3_1__property_N=32_1.log
15,onnx/tllBench_n=2_N=M=32_m=1_instance_3_2.onnx,vnnlib/property_N=32_2.vnnlib,600,600,57.28,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0015__tllBench_n=2_N=M=32_m=1_instance_3_2__property_N=32_2.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0015__tllBench_n=2_N=M=32_m=1_instance_3_2__property_N=32_2.log
16,onnx/tllBench_n=2_N=M=32_m=1_instance_3_3.onnx,vnnlib/property_N=32_3.vnnlib,600,600,304.77,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0016__tllBench_n=2_N=M=32_m=1_instance_3_3__property_N=32_3.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0016__tllBench_n=2_N=M=32_m=1_instance_3_3__property_N=32_3.log
17,onnx/tllBench_n=2_N=M=40_m=1_instance_4_0.onnx,vnnlib/property_N=40_0.vnnlib,600,600,565.97,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0017__tllBench_n=2_N=M=40_m=1_instance_4_0__property_N=40_0.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0017__tllBench_n=2_N=M=40_m=1_instance_4_0__property_N=40_0.log
18,onnx/tllBench_n=2_N=M=40_m=1_instance_4_1.onnx,vnnlib/property_N=40_1.vnnlib,600,600,310.54,False,sat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0018__tllBench_n=2_N=M=40_m=1_instance_4_1__property_N=40_1.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tllverifybench_2023/0018__tllBench_n=2_N=M=40_m=1_instance_4_1__property_N=40_1.log
