idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/tllBench_n=2_N=M=8_m=1_instance_0_0.onnx,vnnlib/property_N=8_0.vnnlib,600,600,603.91,Timeout,timeout,0,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0001__tllBench_n=2_N=M=8_m=1_instance_0_0__property_N=8_0.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0001__tllBench_n=2_N=M=8_m=1_instance_0_0__property_N=8_0.log
2,onnx/tllBench_n=2_N=M=8_m=1_instance_0_1.onnx,vnnlib/property_N=8_1.vnnlib,600,600,604.10,Timeout,timeout,0,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0002__tllBench_n=2_N=M=8_m=1_instance_0_1__property_N=8_1.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0002__tllBench_n=2_N=M=8_m=1_instance_0_1__property_N=8_1.log
3,onnx/tllBench_n=2_N=M=8_m=1_instance_0_2.onnx,vnnlib/property_N=8_2.vnnlib,600,600,603.11,Timeout,timeout,0,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0003__tllBench_n=2_N=M=8_m=1_instance_0_2__property_N=8_2.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0003__tllBench_n=2_N=M=8_m=1_instance_0_2__property_N=8_2.log
4,onnx/tllBench_n=2_N=M=8_m=1_instance_0_3.onnx,vnnlib/property_N=8_3.vnnlib,600,600,602.46,Timeout,timeout,0,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0004__tllBench_n=2_N=M=8_m=1_instance_0_3__property_N=8_3.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0004__tllBench_n=2_N=M=8_m=1_instance_0_3__property_N=8_3.log
5,onnx/tllBench_n=2_N=M=16_m=1_instance_1_0.onnx,vnnlib/property_N=16_0.vnnlib,600,600,603.91,Timeout,timeout,0,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0005__tllBench_n=2_N=M=16_m=1_instance_1_0__property_N=16_0.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0005__tllBench_n=2_N=M=16_m=1_instance_1_0__property_N=16_0.log
6,onnx/tllBench_n=2_N=M=16_m=1_instance_1_1.onnx,vnnlib/property_N=16_1.vnnlib,600,600,603.36,Timeout,timeout,0,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0006__tllBench_n=2_N=M=16_m=1_instance_1_1__property_N=16_1.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0006__tllBench_n=2_N=M=16_m=1_instance_1_1__property_N=16_1.log
7,onnx/tllBench_n=2_N=M=16_m=1_instance_1_2.onnx,vnnlib/property_N=16_2.vnnlib,600,600,603.91,Timeout,timeout,0,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0007__tllBench_n=2_N=M=16_m=1_instance_1_2__property_N=16_2.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0007__tllBench_n=2_N=M=16_m=1_instance_1_2__property_N=16_2.log
8,onnx/tllBench_n=2_N=M=16_m=1_instance_1_3.onnx,vnnlib/property_N=16_3.vnnlib,600,600,603.35,Timeout,timeout,0,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0008__tllBench_n=2_N=M=16_m=1_instance_1_3__property_N=16_3.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0008__tllBench_n=2_N=M=16_m=1_instance_1_3__property_N=16_3.log
9,onnx/tllBench_n=2_N=M=24_m=1_instance_2_0.onnx,vnnlib/property_N=24_0.vnnlib,600,600,604.83,Timeout,timeout,0,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0009__tllBench_n=2_N=M=24_m=1_instance_2_0__property_N=24_0.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0009__tllBench_n=2_N=M=24_m=1_instance_2_0__property_N=24_0.log
10,onnx/tllBench_n=2_N=M=24_m=1_instance_2_1.onnx,vnnlib/property_N=24_1.vnnlib,600,600,608.06,Timeout,timeout,0,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0010__tllBench_n=2_N=M=24_m=1_instance_2_1__property_N=24_1.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/tllverifybench_2023/0010__tllBench_n=2_N=M=24_m=1_instance_2_1__property_N=24_1.log
