idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_0.vnnlib",25,25,6.33,"error","error",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0001__relu_quadrotor2d_state__quadrotor2d_state_0.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0001__relu_quadrotor2d_state__quadrotor2d_state_0.log"
2,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_1.vnnlib",25,25,6.24,"error","error",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0002__relu_quadrotor2d_state__quadrotor2d_state_1.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0002__relu_quadrotor2d_state__quadrotor2d_state_1.log"
3,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_2.vnnlib",25,25,6.22,"error","error",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0003__relu_quadrotor2d_state__quadrotor2d_state_2.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0003__relu_quadrotor2d_state__quadrotor2d_state_2.log"
4,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_3.vnnlib",25,25,6.11,"error","error",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0004__relu_quadrotor2d_state__quadrotor2d_state_3.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0004__relu_quadrotor2d_state__quadrotor2d_state_3.log"
5,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_4.vnnlib",25,25,7.38,"error","error",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0005__relu_quadrotor2d_state__quadrotor2d_state_4.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0005__relu_quadrotor2d_state__quadrotor2d_state_4.log"
6,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_5.vnnlib",25,25,6.13,"error","error",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0006__relu_quadrotor2d_state__quadrotor2d_state_5.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0006__relu_quadrotor2d_state__quadrotor2d_state_5.log"
7,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_6.vnnlib",25,25,7.38,"error","error",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0007__relu_quadrotor2d_state__quadrotor2d_state_6.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0007__relu_quadrotor2d_state__quadrotor2d_state_6.log"
8,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_7.vnnlib",25,25,7.46,"error","error",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0008__relu_quadrotor2d_state__quadrotor2d_state_7.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0008__relu_quadrotor2d_state__quadrotor2d_state_7.log"
9,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_8.vnnlib",25,25,6.19,"error","error",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0009__relu_quadrotor2d_state__quadrotor2d_state_8.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0009__relu_quadrotor2d_state__quadrotor2d_state_8.log"
10,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_9.vnnlib",25,25,6.24,"error","error",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0010__relu_quadrotor2d_state__quadrotor2d_state_9.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/lsnc_relu/0010__relu_quadrotor2d_state__quadrotor2d_state_9.log"
