idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
39,"onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx","vnnlib/mnist_fc_vnncomp2022_prop_4_0.03.vnnlib",30,30,9.32,unsat,0,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0039__mnist_fc_vnncomp2022_mnist-net_256x4__mnist_fc_vnncomp2022_prop_4_0.03.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0039__mnist_fc_vnncomp2022_mnist-net_256x4__mnist_fc_vnncomp2022_prop_4_0.03.log"
81,"onnx/oval21-benchmark_cifar_base_kw.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img3365-eps0.0407843137254902.vnnlib",60,60,4.86,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0081__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img3365-eps0.0407843137254902.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0081__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img3365-eps0.0407843137254902.log"
82,"onnx/oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img3365-eps0.0407843137254902.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img3365-eps0.0407843137254902.vnnlib",180,180,4.91,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0082__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img3365-eps0.0407843137254902__oval21-benchmark_cifar_base_kw-img3365-eps0.0407843137254902.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0082__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img3365-eps0.0407843137254902__oval21-benchmark_cifar_base_kw-img3365-eps0.0407843137254902.log"
83,"onnx/oval21-benchmark_cifar_base_kw.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img2537-eps0.006666666666666667.vnnlib",60,60,4.52,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0083__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img2537-eps0.006666666666666667.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0083__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img2537-eps0.006666666666666667.log"
84,"onnx/oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img2537-eps0.006666666666666667.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img2537-eps0.006666666666666667.vnnlib",180,180,4.53,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0084__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img2537-eps0.006666666666666667__oval21-benchmark_cifar_base_kw-img2537-eps0.006666666666666667.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0084__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img2537-eps0.006666666666666667__oval21-benchmark_cifar_base_kw-img2537-eps0.006666666666666667.log"
85,"onnx/oval21-benchmark_cifar_base_kw.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img1900-eps0.03934640522875817.vnnlib",60,60,4.95,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0085__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img1900-eps0.03934640522875817.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0085__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img1900-eps0.03934640522875817.log"
86,"onnx/oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img1900-eps0.03934640522875817.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img1900-eps0.03934640522875817.vnnlib",180,180,4.93,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0086__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img1900-eps0.03934640522875817__oval21-benchmark_cifar_base_kw-img1900-eps0.03934640522875817.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0086__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img1900-eps0.03934640522875817__oval21-benchmark_cifar_base_kw-img1900-eps0.03934640522875817.log"
87,"onnx/oval21-benchmark_cifar_base_kw.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img395-eps0.003790849673202614.vnnlib",60,60,4.68,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0087__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img395-eps0.003790849673202614.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0087__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img395-eps0.003790849673202614.log"
88,"onnx/oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img395-eps0.003790849673202614.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img395-eps0.003790849673202614.vnnlib",180,180,4.70,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0088__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img395-eps0.003790849673202614__oval21-benchmark_cifar_base_kw-img395-eps0.003790849673202614.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0088__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img395-eps0.003790849673202614__oval21-benchmark_cifar_base_kw-img395-eps0.003790849673202614.log"
89,"onnx/oval21-benchmark_cifar_base_kw.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img6098-eps0.006666666666666666.vnnlib",60,60,5.00,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0089__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img6098-eps0.006666666666666666.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0089__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img6098-eps0.006666666666666666.log"
90,"onnx/oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img6098-eps0.006666666666666666.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img6098-eps0.006666666666666666.vnnlib",180,180,5.13,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0090__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img6098-eps0.006666666666666666__oval21-benchmark_cifar_base_kw-img6098-eps0.006666666666666666.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0090__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img6098-eps0.006666666666666666__oval21-benchmark_cifar_base_kw-img6098-eps0.006666666666666666.log"
91,"onnx/oval21-benchmark_cifar_base_kw.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img2153-eps0.04196078431372549.vnnlib",60,60,4.98,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0091__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img2153-eps0.04196078431372549.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0091__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img2153-eps0.04196078431372549.log"
92,"onnx/oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img2153-eps0.04196078431372549.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img2153-eps0.04196078431372549.vnnlib",180,180,5.35,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0092__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img2153-eps0.04196078431372549__oval21-benchmark_cifar_base_kw-img2153-eps0.04196078431372549.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0092__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img2153-eps0.04196078431372549__oval21-benchmark_cifar_base_kw-img2153-eps0.04196078431372549.log"
93,"onnx/oval21-benchmark_cifar_base_kw.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img1204-eps0.024967320261437907.vnnlib",60,60,6.58,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0093__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img1204-eps0.024967320261437907.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0093__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img1204-eps0.024967320261437907.log"
94,"onnx/oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img1204-eps0.024967320261437907.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img1204-eps0.024967320261437907.vnnlib",180,180,7.75,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0094__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img1204-eps0.024967320261437907__oval21-benchmark_cifar_base_kw-img1204-eps0.024967320261437907.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0094__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img1204-eps0.024967320261437907__oval21-benchmark_cifar_base_kw-img1204-eps0.024967320261437907.log"
95,"onnx/oval21-benchmark_cifar_base_kw.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img2341-eps0.049150326797385624.vnnlib",60,60,7.09,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0095__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img2341-eps0.049150326797385624.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0095__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img2341-eps0.049150326797385624.log"
96,"onnx/oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img2341-eps0.049150326797385624.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img2341-eps0.049150326797385624.vnnlib",180,180,7.80,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0096__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img2341-eps0.049150326797385624__oval21-benchmark_cifar_base_kw-img2341-eps0.049150326797385624.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0096__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img2341-eps0.049150326797385624__oval21-benchmark_cifar_base_kw-img2341-eps0.049150326797385624.log"
97,"onnx/oval21-benchmark_cifar_base_kw.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img8258-eps0.005620915032679739.vnnlib",60,60,9.62,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0097__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img8258-eps0.005620915032679739.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0097__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img8258-eps0.005620915032679739.log"
98,"onnx/oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img8258-eps0.005620915032679739.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img8258-eps0.005620915032679739.vnnlib",180,180,7.55,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0098__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img8258-eps0.005620915032679739__oval21-benchmark_cifar_base_kw-img8258-eps0.005620915032679739.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0098__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img8258-eps0.005620915032679739__oval21-benchmark_cifar_base_kw-img8258-eps0.005620915032679739.log"
99,"onnx/oval21-benchmark_cifar_base_kw.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img4386-eps0.011111111111111112.vnnlib",60,60,8.23,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0099__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img4386-eps0.011111111111111112.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0099__oval21-benchmark_cifar_base_kw__oval21-benchmark_cifar_base_kw-img4386-eps0.011111111111111112.log"
100,"onnx/oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img4386-eps0.011111111111111112.onnx","vnnlib/oval21-benchmark_cifar_base_kw-img4386-eps0.011111111111111112.vnnlib",180,180,6.31,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0100__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img4386-eps0.011111111111111112__oval21-benchmark_cifar_base_kw-img4386-eps0.011111111111111112.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0100__oval21-benchmark_cifar_base_kw_RSPLITTER_oval21-benchmark_cifar_base_kw-img4386-eps0.011111111111111112__oval21-benchmark_cifar_base_kw-img4386-eps0.011111111111111112.log"
101,"onnx/oval21-benchmark_cifar_deep_kw.onnx","vnnlib/oval21-benchmark_cifar_deep_kw-img3039-eps0.035686274509803925.vnnlib",60,60,9.42,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0101__oval21-benchmark_cifar_deep_kw__oval21-benchmark_cifar_deep_kw-img3039-eps0.035686274509803925.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0101__oval21-benchmark_cifar_deep_kw__oval21-benchmark_cifar_deep_kw-img3039-eps0.035686274509803925.log"
102,"onnx/oval21-benchmark_cifar_deep_kw_RSPLITTER_oval21-benchmark_cifar_deep_kw-img3039-eps0.035686274509803925.onnx","vnnlib/oval21-benchmark_cifar_deep_kw-img3039-eps0.035686274509803925.vnnlib",180,180,11.11,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0102__oval21-benchmark_cifar_deep_kw_RSPLITTER_oval21-benchmark_cifar_deep_kw-img3039-eps0.035686274509803925__oval21-benchmark_cifar_deep_kw-img3039-eps0.035686274509803925.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0102__oval21-benchmark_cifar_deep_kw_RSPLITTER_oval21-benchmark_cifar_deep_kw-img3039-eps0.035686274509803925__oval21-benchmark_cifar_deep_kw-img3039-eps0.035686274509803925.log"
103,"onnx/oval21-benchmark_cifar_deep_kw.onnx","vnnlib/oval21-benchmark_cifar_deep_kw-img6995-eps0.00954248366013072.vnnlib",60,60,8.36,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0103__oval21-benchmark_cifar_deep_kw__oval21-benchmark_cifar_deep_kw-img6995-eps0.00954248366013072.result","/data1/Kane/ACT/audit_results/abcrown25_supplemental_20260526/relusplitter/0103__oval21-benchmark_cifar_deep_kw__oval21-benchmark_cifar_deep_kw-img6995-eps0.00954248366013072.log"
